refined_rfe,count
"seizure disorder, on rx",1
"v , d, epi pain",1
vomiting 7times,1
"rti,eosinophilia",1
to reinsert the ng tube,1
"dysurea,r/loin pain",1
l eye brow swelling,1
pain in big toe,1
01804104006,1
"n, v, loose stool-1",1
b/ll wrist joint pain,1
"anal tag, now pain",1
2025/026705,1
putules,1
"loose motion, abd. p.",1
behaviral prob,1
inability to talk,1
"dysuria , lower abd p",1
hb 8.4g,1
penile ballooning,1
hesi,1
loose motion  abd. p.,1
lump at upper lip,1
"dysurea ,phymosis",1
height less than  -3sd,1
watery diarrhoea 3d,1
swelling l/parotid gland,1
"joint pain , swelling",1
bodya,1
truma to l eyelid,1
"loose motion , vomitting 4days",1
generalised oedema,1
mother insists on admission,1
wounds on b/l ll,1
wounds on the legs,1
uti 0n treatment,1
rta -6pm,1
r/ eye trauma -yesterday,1
seizure episodes,1
"diarrhoea,4 days, blood in stool admit",1
involuntary hand movements,1
"pyelonephritis/pyelitis,",1
w -ears,1
l/nostril polyp,1
r/s ear pain 1d,1
joint pains   right uppr limb,1
haea,1
01805572359,1
high eiosinophillia,1
"vomiting,diarrhoea,sleepiness",1
papules in tongue,1
less drinking breast milk-3-4d,1
multiple larger joint pain,1
l/breast tenderness-3/52,1
b/l lymph node enl.,1
b/l knee pain 3y,1
"-l/eye-redness,pain",1
papular tash,1
inguinal gernia r/s ?,1
ab head move,1
blinking both eyes during working,1
"right hand, leg pain",1
r/eye vision less,1
phymosis-5/12,1
swellllllllllllllllllllllllllllling,1
r parotidswelling,1
bedwetting  2/12,1
thyroid lump????,1
wrist pain 2 d,1
trauma to l palm thumb,1
red eye-both eyes,1
"l/eye pain, mild swelling",1
admitted on request by parent- mother,1
r/ankele joint pain,1
trauma  l/ eye,1
01805570676,1
desentry,1
"vomitng,loose stools",1
wound  over l/little toe,1
reddish  palm,1
"age, vomiting 1d",1
? trauma to r eye,1
? ear pathology,1
u alb +++,1
stray dog bite-4pm,1
squrrel bite-5pm,1
rv as request,1
enlarged ln behind the r/ear pinna,1
syn,1
l elbow,1
repeated vomiting 10 times,1
seizure today morning,1
injury to nasak bridge,1
rever 3 days,1
l/arm injury,1
vomited  3 times - dehydtrated +,1
01803121902,1
dob bite,1
traumato r/big toe,1
"vomitting 3 times, loose motion",1
trauma to r/leg-l/ head,1
trauma to head x 2d,1
pain right elbo,1
rt ear lon,1
tenea extensi,1
suture removal and dressing,1
wortm,1
01804722260,1
"vomiting++, sob",1
redv eyes 10 days,1
tonsil enlaregd,1
4 th dose,1
"w,pain",1
01804511382,1
"st,tonsilitis",1
trauma with hanger hook -7pm,1
"poor apeetite,",1
trauma to r/leg-sports injury-yesterday,1
"poor apetite,,low",1
"er1d,soe throat",1
"abd. p. loose motion 10 times, no vomiting, abd. distention",1
"vomitt, loose motion",1
r leg problem,1
regurgitation/vomiting,1
joint p 1day,1
?itp,1
butten battery ingestion,1
"anorexia,bno",1
genital prurites,1
"v d2, d",1
? dysurea,1
"dysurea, heamaturia??",1
01804708251,1
hot water burn to l hand,1
pityriasis  ver/,1
01805574736,1
suture removing,1
stunting ??,1
abg pain,1
trauma tol elbow,1
"pustule ,upper eye lid",1
r/lump at r/inguinal area,1
"trauma to r eye, redness",1
small pus,1
heel p,1
injury to head moinor injury,1
"anaemia, eosinophilia",1
01803145513,1
l sided body pain,1
"v d5, wound",1
sleepiness all the time,1
01803358439,1
a volleyball hit over right hand,1
injury by a nail,1
r loin pain  1/52,1
01804671855,1
dizziness today,1
perorbital swel,1
burn over r eyelid,1
wound on lower lip,1
neurology mx.,1
hit  to le ear,1
insist on nebulzation,1
eri,1
r/aj pain /swelling,1
abration over l/knee joint,1
hit with a stone,1
loose stool when eating,1
leg ulder,1
watry di vomi,1
dysutriwas,1
pain in r anlllllllkle,1
"pain in r heel, 1 month",1
watery diar vomi,1
uppar,1
"loa, loose motion 7days",1
wart at l/breast?,1
pitytriasis,1
??balanitis,1
01802617892,1
pain in b/l ll,1
r ear pus,1
skiuin l,1
"vom1i,",1
burn by an iron,1
assaulted by known person -4.15pm,1
? exposure to a dog,1
? exposure to dog,1
? animal exposure,1
lump l/ kj,1
01805558663,1
loose motion 4days,1
"r/periorbital swelling 10d, not responding",1
viral  warts,1
"and.pain,v",1
periodontitis,1
leg pain  2 weeks,1
hard stool s,1
minor trauma to l/arm,1
vomiting 1w,1
hip dysplasia,1
in adequate wi01802953784,1
pereodontitis,1
phymosis+ redness and swelling,1
r big toe pain,1
bleeding time,1
ganglion in l wrist,1
enlarget tonsils,1
gasr,1
trauma l/ej x 2d,1
bno 6days,1
"b/l kj pain 3y, esr-24 in 1st hr",1
01805561477,1
ear ln enl,1
balantis,1
r/eye vision- blurred,1
venous engorgement,1
01710498914,1
plts 8,1
"epi pain, hb- mother thalassaemia+",1
01803527819,1
b/l eye redness,1
eating odd thi,1
l/ upper limb pain 2w,1
toe p,1
partially treated uti,1
pir,1
wheezeer,1
ankle pain-2/12,1
"swelling,pain r hand 2d",1
arv2rd dose,1
limping admit,1
dirrhoea watery,1
mur +,1
plts 194---&gt; 191,1
plts 172---&gt; 153,1
plts nad,1
l/s breast lump,1
lumop,1
01805324074,1
vomiting .loose stool,1
goirtre,1
parotid swelling 2d,1
joint pain  3/52,1
lump in right shin 5y,1
lump 01710203637,1
vomitting3 tim,1
0180334761401803347614,1
trauam to nose,1
rkj,1
bruise,1
pain and swelling over nose,1
lump at nipple,1
01804771036,1
jointb   pain,1
dry skn,1
"haematuria,2d",1
trauma to right upper,1
burn in jury,1
multiple lymphadenopathies,1
rta-tw toppled over,1
trauma to nose 2 days ago.,1
tenea general,1
b/l periorbital oedeama,1
v.loose motion,1
pain r/leg,1
loosde stool 3 d,1
trauma to r big toe nail,1
ret,1
join t p,1
loosev motion 7d,1
rasd,1
"ba, poor response to inhalors",1
sal bottle broken,1
swelling arm,1
vision less-l/eye,1
valval adhesion,1
right peri orbitaledema,1
tearig more,1
repeated lw neu,1
abd pai8n,1
abd p[ain 1 week,1
"abd. p. vomi, loose motion",1
suturs,1
loa vomi,1
01690073612,1
impaired  growth. worried parent,1
dysurea with balanitis,1
01805562889,1
l/leg limp,1
pityrasis,1
r aj pain tender  3d,1
sj pain 1d,1
trauam to r/leg,1
death 0n admission,1
01805102595,1
resperidone ingestion,1
trauma to l u arm,1
dirrhoea 2 watery,1
reoprts,1
l/abdom. pain,1
"r/sternal swelling 2 years,pain",1
normal ln,1
wound in l ear,1
?short leg,1
develpmental delay,1
? sexual assault admit,1
planned review-assaulted -11.30am,1
hot water burn-10.30pm yesterday,1
01803357902,1
"gastritis, r thigh pain",1
poor memmory,1
external angular dermoid,1
? trauma to l/eye,1
rads,1
"nausea ,loose motion",1
r ml pneumonia,1
lump posterior  l/s ear 2d,1
on drugs,1
pain in genetalia,1
dizziness 1week,1
ear dis 1 d,1
sports injury-7am,1
"vomiting, loose stools, not responded to domperidon",1
sleepiness 5 days admit,1
"b/l enlarged tonsils, snoring during sleep",1
pain in both kj 1w,1
straning while passing urine,1
tender swelling    ln,1
"obese,hyperlipidaemia",1
rw,1
? milk aspiration,1
l/loin.pain,1
"abominal pain,loose stool",1
drowsineess on 17/3,1
"vomiting,7 times , loose motion 10 times , uop less",1
req adm to ward,1
01700187329,1
pirtyriasis,1
tia,1
"abd. p. nausea , loose motion",1
"gestritis 2yr,age",1
"vomitting 2days, 10 times daily",1
?haemat urea,1
abd. p. vomi loose  motion,1
abd. p. loose stools nausea,1
mu small boils,1
stapler pin ingestion,1
pain in both hands 1d,1
lump in ls behind ear lobe,1
#,1
lump behind ls ear lobe,1
01804367744,1
trauma right upper limb,1
trauma l/ eye8.30pm,1
"vomitting 6 times today , uop less",1
"vomiting, loose motion not responding",1
logse motion,1
vomiting  6 time,1
deep breaths,1
eye pain  1/52,1
"red eye,-2/52",1
gall bladder stone,1
pain inside  l ear 3d,1
abnormal eye movements,1
l/eye -blurred,1
sweat raash,1
ant bite over r /eye lid,1
mild swelling around eyes,1
butten batery swollow-4pm,1
"v d2, loose stools d2, admitted",1
pustules in genitalia and hands,1
01802499838,1
r /suppurative inguinal lymphadenitis,1
breath holding epiosode,1
allery to ear stud,1
haematurea+,1
ear ahe,1
trauma to right knee yesterday.,1
vomi dia 3 days,1
"esr-33,",1
tender pos ouri ln,1
"rti,plts 187",1
putu tonsili,1
swelling in penis -,1
multiple allergy wounds,1
trauma to upper lip and nose,1
stye/trauma,1
severe vomiting and diarrhoea,1
sty ls eye,1
l eye  squint?,1
visioon less,1
short stature  joint pain,1
poly urea .pain in penis,1
poor vision ?,1
musle growth under tongue,1
worm passing,1
r/hip knee pain,1
"epi pain, regurgitations, l ear wax",1
"loose stool 3 days, anurea, v",1
generalized pain,1
sorethr 4,1
w-in penis,1
red ness in r eye 1d,1
bl lower limb pain  1 week,1
01805606827,1
nail punture,1
loa  abd. p. vomi,1
gastr=itis,1
right kj swelling 1 year,1
small meatus,1
"tiredness , sleepiness",1
01804280459,1
esr 7,1
vomiting mixed with blood,1
loose m0tion,1
rev1d  loose stool 3d,1
01804236451,1
unresposive,1
white dis,1
head hit against a door,1
01802725786,1
epistaxis again,1
bo every 4th day,1
"vomitting,urine out put less",1
ant bites,1
dressng,1
l/submandibular gland -enlargement,1
ug,1
tearing eyers,1
dirrea,1
v dia 2,1
"high s , bilirubin,",1
right ll pain,1
wj pain,1
"loin pauin , dysuria",1
abdominal distension.under weight,1
taruma to eye,1
uti?,1
"leg pain,short stature",1
weaknsse,1
"swelling,at ears",1
wound dressing at hand burn,1
"red eye,dx",1
submandibular swelling,1
trauma l /wj,1
warts?,1
rv tomorow,1
"l/s periorbital swelling, ? allergy",1
anaema,1
"diarrhoea,vomiting,3 days admit",1
"diarrhoea,3 days, 5 times today admit",1
"vomiting,4 times,diarrhoea,",1
swellind at immmunization site,1
"body pain,vomiting",1
brother admitted to wd 13,1
nose bleed,1
"? sinusitis, epi pain",1
"d d3, v y'day",1
autism level 2,1
"ear injury, bleeding",1
r/s kj pain 4d,1
wound on the genital region,1
"diarrhoea, 6 days , 5 times today, admit",1
"r 1d,throat pain",1
"diarrhoea,vomititng",1
"vomitinhg,loose stool",1
pyurea,1
plts 180 +rti,1
hot steam burn,1
small swelling,1
u.dx,1
repeatedvomiting,1
abd.p. vomi,1
warts 3 months,1
key ingestion,1
putule,1
"low oral intake and uop,",1
"vomiting,abd. p. loose motion low uop",1
glomerulonephritis,1
"v, settled with domp",1
"nystagmus,vision less",1
anal tag? 6 months,1
"tenia, poor respone to rx",1
growth at r/earlobe8/12,1
"l kj pain, vision problem",1
saop,1
nutrtion,1
oup,1
rt eaer p,1
? bony lump,1
premature gray  hair,1
"r/s kj,  popleteal pain 3 months",1
milds wheez,1
reurrant worms passing,1
hard lump at r/ear-3/52,1
l/ear hearing less,1
right ll pain no trauma,1
bow legl/leg>r/leg,1
r/v the pt,1
"v d2, d d2",1
01803292752,1
r/heel swelling 3d,1
"ab paoin,vomiting,",1
"dog bite/ puppy, 4 months",1
"vomitting, no trauma t head",1
"whheezing, mild dys",1
dog bite on 2024.04.14,1
andnd pain,1
"vomiting,diarrrhoea",1
"pymosis, dysurea",1
hot oil burn,1
"throat p[ain,",1
plts normal,1
"vomiting,whhezing",1
"v , thr pain- n, epi pain",1
vom loosev stools,1
"diarrhoea,4days,vomiting,admit sos",1
"loose stool , loa",1
hb 6.4,1
loose stool.vomiting today,1
numbness in soles 1 year,1
hb low?,1
r eye sty 2 weeks,1
sinus at anus,1
small lump at gum,1
poor vision 1 year,1
vomited 3 times today,1
lump  w j,1
dog bite - arv d 0,1
n-88,1
"hb low,rti",1
hb 8.8 g/dl,1
01803996436,1
trauma to shin,1
l/s leg pain 1w,1
impetigo exematous,1
esr 78,1
under weight,1
diarrhoea  10 times aday,1
arv  d3,1
pull injury l/arm,1
ab d.pain,1
suturew removal,1
need to admit,1
trauma l/ 5th toe,1
tooth erruption,1
v loose 1 d,1
eyedis,1
toe problem,1
diarrhoea  2d,1
",rhinitis,sob",1
01802628717,1
rat snake bite,1
hypothy b?,1
exema  8/12,1
lump at right upper eyelid.,1
loa nausea,1
"diarrhoea,5  days",1
01805597505,1
urine no symptoms now,1
small umbil hernia +      no abd [pain,1
"agressive behaviour,insomnia",1
unable express word properly,1
bleeding nasal,1
asymetry leg,1
joint pain 1 day,1
tonsilar and ln enlargement,1
?pda,1
sx site,1
seizure /,1
swelling over ars site,1
"aj pain and swelling, esr - 56",1
sneezing and phlegm,1
abn shoulder,1
"loose motion,haematuria,?",1
"d,loa",1
sore throate,1
"gangliomar/wrist,pain",1
l/vision less,1
l/loin pain 1/12,1
"lump and ,haematemesis/vomiting blood,",1
dog bite on ls knee.,1
plts 165--&gt;169,1
montelukast,1
l/upper eyelid swelling,1
diarrahoea 2 weeks,1
trauma l/ ll,1
a small wound on the penis,1
"absess at penis, broken",1
vomity,1
arv 3rd dise,1
trauma to below l/eye,1
01804685822,1
seweat,1
vertigo 2yr,1
lump at throat,1
nasal bone # ?,1
01803122199,1
0180559272001805592720,1
loosem0tion,1
epidermalnaevus,1
swet rsh,1
"swelling -l/ear,pain",1
eating  mis.,1
trauma to lower jew,1
hash,1
granuloma in r elbow,1
enlarge l inguinal ln,1
l/s ln,1
low apetite,1
ear pain 1w,1
tp and ha,1
"gastroentritis ,urine symptom",1
appendui,1
throat pain 4 d,1
xxxx,1
vr,1
lo9ose motion,1
abnd,1
"hamatemesis, bleeding pr",1
"haematurea,blood mixed stool",1
pain in both axila,1
01804163689,1
aqb pain1d,1
pain atupper jaw,1
lether ball hit on r head 10.30am,1
bowel not open 4d,1
erv,1
mmm,1
mm,1
"abd  distention,vomiting,4d.had loose motion",1
traum to genitalia,1
trauma by iron gate,1
ototis media,1
rt n,1
no responsive smiling,1
leather ball hit on r/periorbital area,1
trauma l/aj -yesterday,1
trauma l/ej- yesterday,1
loose motion 1 week,1
01803905585,1
poor pronation,1
ing ln-1m,1
"pain ,poor vision",1
01803534609,1
loose s vomi.,1
strening to pass urine,1
earv dx,1
eye lid swelling/l,1
"vomiting,7 times,loose motion",1
"loose motion,loa",1
hit the  head on a door knob,1
01804154969,1
impaired hearing l/s,1
pain at l/ eye,1
r ln enlargement,1
trauma tor/eye,1
dnsi  +,1
lump groin region,1
01803778719,1
poor orienttation on studies,1
loose stool  2d,1
pain l leg,1
"diarrhoea,,gestritis",1
eye drop,1
ab. pan r side,1
"harressed by another person,",1
vomiting 1d . no response to rx,1
"diarrhoea 2d , pu 3 times today",1
trauma l/eye -yesterday,1
pain at l wj,1
l / inguinal lump,1
stam,1
trauma -r/leg yesterday,1
ll n,1
abd p 3weeks,1
e3ar disharge,1
ab .pan 2 d,1
r/ pujo,1
hyperative,1
delayed miles tones,1
parotid lump,1
tinitus l / ear,1
trauma l/aj yesterday,1
pain in tmj,1
r/ ptosis,1
01803540846,1
l/s leg swelling lowerankle,1
d 6d,1
vvvomitting,1
strainingto pass u,1
lump in r groin,1
lose  motion,1
trauma by an iron plate,1
"repeated vomiting,not responded to tx",1
hypodpadias,1
"dysuria, phimosis",1
hit the lip,1
dry skim,1
urine ketone positive,1
right thigh pain while walking,1
llump at anus,1
a01804161899,1
wheezung,1
ks,1
01804177002,1
bno x 9d,1
"vomiting ,diarrhoea",1
trauma by iron bar,1
hit against iorn bar,1
vomitinnnnnnnng,1
gaaastritis,1
"vertigo/dizziness,3d",1
mussle pain,1
trauma l/thigh,1
u   t  i,1
assaulted by elder brother,1
hit over a desk,1
ab. paain 2 mnth,1
01803205069,1
bony lump at r/ear,1
"daiarrhoea 3d 2t ,  no vom , loa",1
"vomiting, lose stools",1
trauma r/thumb yesterday,1
jjoint  paiin,1
haiir,1
disuriaa,1
01804170593,1
temper trumps,1
warrts,1
l / kj  pain,1
stmmering,1
"blindness,",1
waarts,1
r/hand burn,1
dentaal,1
pain inleg,1
hit on a gate,1
"assult, to r/ear",1
eaaaaaar paain,1
blood stain stool,1
trauma to r/palm,1
r / periorbital swelling,1
bony prom,1
asore throat,1
sweat r,1
wheesig,1
abdoman,1
aki,1
wheeeze,1
weak,1
lump in r/breast,1
pain in toes,1
joint pai9n-2/52,1
abnormality in r/tragus,1
trauma to r / eye 1d,1
mayalgia,1
loose s 2d low uop,1
tag near anus,1
bleeding in l ear,1
snhl,1
l ab. pain,1
malabsorption,1
aab. paijn,1
01804142709,1
sewaling eyes,1
vision  less,1
skull abnormality,1
hot  water burn,1
upper limb not moving,1
pain  u limb,1
loose motion   watery,1
"nausea ,vomiting and lm",1
wheezinhg,1
planter pain,1
leather ball hit on l/ear,1
dwosiness,1
trauma to r aj,1
l/knee pain 2w,1
01803109667,1
l knee joint pain,1
"diarrhoea,gestritis",1
01803797412,1
ddia,1
01803820966,1
burning tummy,1
looswe motion,1
vimiting,1
sutre,1
joint pa,1
"voimttting,",1
mwed,1
neur,1
awaiting surgery,1
ksk,1
eye pain 2 d,1
gssriitis,1
tearing l/s,1
phimosssis,1
abd paain1 week,1
agressive behaviuor,1
r periorbital  swelling,1
blood in stools 1d,1
papular lesions,1
minor trauma to r/shoulder,1
throar,1
lowerabdpain,1
trauma to lumber area,1
01803820867,1
vomioting and lm,1
loose s. vomi low uop,1
loose s.,1
tennis ball hit on l/hand,1
wound in hand,1
ear pain 3 days,1
runnynose,1
multiple jointn pain,1
01803460565,1
dog bite 29/07,1
"vomiting, looks pale",1
lll pneumonia,1
sjk,1
peri anal lump,1
no lumpsin breast,1
ddiiiziness,1
eye ppaain,1
hot water burn at 6pm,1
abnormal behaviour 6/12,1
boooody ppaain,1
l/ lump,1
"diarrhoea,,v",1
burn injury with hot tea,1
bursing r/thigh,1
urtin . enlarge ln,1
vom 4d,1
bd pain 2d,1
dysueria,1
rabit bite,1
suture r,1
haed turns to a side,1
baw leghs,1
loose zstools,1
knee pain 2w,1
spine abnormility,1
haemangioma on l/palm,1
b/l squint,1
bruising on the r/thigh 2 days,1
ix lymphoma,1
minor trauma to l/pinna,1
joint pain  hip,1
hit on a light pole,1
minor trauma/injury to l /knee,1
"vomitting, blood stained stools jelly like",1
e1d,1
lump at l / inguinal region,1
pain at tmj,1
rs lower lobe pneumonia,1
"vomiting,loose stool 3 days",1
"poor vision,ab pan",1
eye assessment,1
l/eye,1
01690112840,1
01803083789,1
redness in l/eye,1
llearning disablity,1
u  t i,1
r/ankle trauma,1
ear    pppain,1
po,1
loose stools 2d,1
hit the upper eyelid,1
pain nat l/loin1d,1
ey lide swellimg,1
"loose motion,3d",1
trauma r/sole x2d,1
swelling prepuse,1
injury to  r / eye,1
rta-runover injury,1
br nodule,1
loose motion 10 times,1
swelling below/l/ear,1
breast lump l/s,1
swelling in r/ upper arm,1
bone age assesment,1
vomitting throt pain,1
loose stools 3weeks,1
small r/ eye,1
abnorm behavior,1
no eight gaining,1
repeated vomiting-10 times,1
plts 194-188,1
"weekness ,numbness",1
upper ab. pin 1 d,1
swealing below l ear,1
trauma r/wj-hand,1
hot plain tea burn-4.30pm,1
lumps on head 3/12,1
opd 3d,1
swelling aroud r/  3deye,1
hhhyyyyo,1
abd   pain,1
wwounds,1
loose mootion,1
"v,h",1
eepistazxis,1
smely urine,1
trauma to head( mild),1
lump-lip,1
lump axilla,1
01803402443,1
l/periorbital oedema2 weeks,1
perinatal mortality,1
passing blood with  stools 3/12,1
pain l/ ear,1
heamodialysis,1
wound looks better,1
trauma l/toes x2d,1
01804103479,1
"sinusitis,periorbital swelling",1
abd...pain,1
swelling/underr/   ear,1
swelling below  r/ear,1
01802561140,1
trauma to l/ eye today,1
pain in r / hand,1
sensory loss,1
dms,1
severe pain in right  ear,1
6 toes l,1
l/s  lion to groin pain 1d,1
l / inguinal hernia,1
right side loin to groin pain,1
lump in l/leg 3d,1
av paaiin,1
01803327954,1
breast lump  3/52,1
01803556305,1
gaasttitis,1
poland disease,1
abd swelling,1
annbd pain,1
abnormal brrrrrrehavior,1
painr/leg,1
"anorexia,vomiitng",1
ex vomiting,1
r/ ant uveitis,1
bad smell in mouth,1
abd paimn,1
01710112580,1
bpr,1
"kj pain  1yr, pain in r/ sj  2/52",1
ln  tender,1
r/ lower lobe pneumonia,1
lumps in b/l lowerand upper eye lids,1
01804050605,1
l/ thigh pain and limp,1
tendernesson tragus,1
tenderness on tragus,1
neavu,1
"d , loa",1
pain legl/,1
vp-opd-r,1
esr-rrpt,1
01804219945,1
briuise,1
lymph node tender,1
knee joint paain,1
knee jt pain l/s,1
"throatpain,ear pain",1
a small lump over r/upper eye lid,1
01802503829,1
teeth problems,1
trauma to both hands and legs,1
having right shoulder joint pain,1
headahe 8/12,1
"tsh    25,5",1
rhe,1
ab       pain,1
ab   pain,1
n 72,1
trauma to r mandible,1
pain in r/j,1
"trauma to penis ,phymosis",1
kjapain,1
stray d bite,1
hypopigmentation around eyes,1
abd distension3 weeks,1
eat a banana bitten by a rat,1
pain swelling inguinal area,1
wrist joint pain 1d,1
"loin pain ,vomiting,",1
poor wt gain  lethargy,1
dysure a,1
lymph nodes enlarged,1
enlaegerd lymph node,1
volvulous,1
plts,1
abdominal injury,1
am,1
suture tremoval,1
tirdness,1
"diarrhoea,9d",1
loose stools6d low uop,1
right kj swelling,1
r/arm abnormility,1
weak body,1
01804042024,1
arv  d 30 dose,1
ball hit over the right hand,1
01802717213,1
ars,1
hypospedis,1
bl kj pain with limping 1day,1
snezing,1
loose motion and poor appetite,1
l/ breast  pain,1
01803985611,1
v and d,1
blurring vision,1
medi,1
red jelly stool,1
01804185476,1
pain redness labia,1
01804108114,1
swe penis,1
duplex ureter,1
loose mortions,1
01802898294,1
01804187167,1
loosse,1
haematurea one episode,1
01804187795,1
throat painear pain,1
bl bow legs,1
loose st. vomi low uop,1
hamster bite,1
traumatized with a metal wire,1
swolling y a rubber tube today morning,1
rta 4.30pm,1
knee jt pain  1 week( l),1
01803931367,1
hit over timber,1
"diarrhoea,3d,watery",1
poor r/eye vision,1
bad smell,1
poor eye vision,1
drypalms,1
h/o alergy,1
bleeding - r nostri,1
smelly l/ear,1
k jt pain,1
sob with exertion,1
multiple jint pain,1
sob exertion,1
vomittin,1
abdomen pain,1
wounds in mouth,1
traumaa to r head,1
"vertigo/dizziness, 1 week",1
"pain both breast,no lump",1
01802724672,1
pain in  right knee,1
damage to bandage,1
vertigo 1week,1
"wound,l/s ll swelling",1
"snoring ,",1
01804183950,1
r/s knee joint swelling and tenderness,1
l/,1
rhinitis stye,1
sweating palms,1
trauma to l/heal yesterday,1
burns yesterday,1
trauma  l/hand,1
earvpain,1
hot tea burn-7am,1
trauma to r/head,1
01804168167,1
giddi spell,1
trauma to l 4th toe,1
sut. remo,1
r-35,1
kj and hip jt pain 1/52,1
ht-murmer,1
rrah,1
"vomiting,milk,mild abd,distension",1
oral sepsis,1
01804198925,1
lympadenpathy,1
wax in both ears,1
ppain at r/ankle,1
v.aart-kin,1
abd.pazin,1
01804199865,1
01710056670,1
"sub mandibular ln,tender",1
abnormal gait bowlegs,1
rah-33,1
dysmenorhea,1
h/o body tem,1
woyu,1
warm tretment,1
not talking well,1
diiiarroea,1
hit the upper lip,1
lower lip injury,1
01802860344,1
abg,1
01804030110,1
lymph gland(s) enlarged 6/12,1
head hit over wall,1
01804202859,1
injured eye,1
treauma to l/arm,1
uti+ sepsis,1
loosev stools,1
wounds 1 mnth,1
dog bite wound,1
handr,1
greenish stool,1
01803210150,1
av,1
rt leg limp,1
01804192969,1
r/ hip pain 1w,1
wart-r,1
01804194023,1
intoeing,1
abd distension 15 d,1
vom diarrhoea several times,1
01804194403,1
01803966306,1
pharyingitis,1
lymp node,1
trauma to right  upper eye brow,1
button battery ingestion on 19 th august,1
b ankle odema,1
urinary stone,1
blow to wrist,1
01803840063,1
dirroea passing blood,1
01803359221,1
pain l/ inguinal region,1
wounds in  buttoks,1
har loss,1
hb 8.4,1
lod,1
dus,1
traum a to l kj,1
evaluating global development,1
01804415212,1
kerosene ingestion,1
hoarseness goitre,1
kj pain l /s  1/52,1
painin r/ ear,1
pain in r /ear 6d,1
iregular periods,1
ln enlargement-2w,1
painin r / eye,1
brest tender,1
01804062055,1
head hit on wall yesterday,1
abnoprmaal movements at night,1
01803666583,1
vomitting++,1
gog  bite,1
r/s/ periorbital swelling,1
abnm walk,1
bat bite,1
trauma just below right eye,1
l/ul pain,1
ing pain,1
vomitting  2times,1
inverted legs,1
l side jaw pain,1
l/ inguinal pain,1
ankle paain,1
abggd pain,1
01802722627,1
"hand pain,elbow pain",1
petrol splash into eyes,1
warmm treatment,1
house rat  bite,1
thr. pain vomi,1
ever 1 d,1
eye paain,1
predni,1
01804053732,1
diahrroea,1
vomiting and nausea,1
painat r/leg,1
abbdpain,1
stab injury,1
trauma to l/ era,1
"vomiting,  ab. pain",1
r/ red eye,1
lleeeg pain,1
"aqb pain,vomiting,",1
swelling r arm,1
abno. behavior,1
heasa,1
labialadhe,1
agresive behevior,1
ployphagia,1
polydipsia,1
"vomiting,not respond to oral drug",1
trauma by a metal,1
eye lid swelling l/s,1
01802692507,1
dyusu,1
injured by sip,1
07000190,1
"tp, dis",1
r/aom,1
rt ear it,1
gross motor dev delay,1
"nausea,lm",1
mums,1
wound at r/hand,1
r/ undesended testis,1
01803814423,1
"right ear pain, sudden onset",1
denatal,1
rat bit,1
01803638756,1
01710575190,1
ear irritation,1
trama b/l leg,1
vomiting  10 times,1
traum to l/leg,1
vmit,1
01802952547,1
improvement +,1
larva mig,1
alt bw habits,1
"diarrhoea,dysentry",1
trauma to l/kj x3d,1
diarrhooea 12 timwwwwwes,1
mass in l/ atrium,1
prominent bone,1
01803562949,1
ouygh,1
122des,1
pain in l/ kj 1/12,1
plts-199,1
irregular period,1
pan at l/nipple,1
blow toear,1
nb.throat pain,1
anterior mediastinal mass,1
"diarrhoea 5t,",1
vomitin g 1 d,1
01803133568,1
limping 1d,1
groning,1
ig,1
hhair     loss,1
hight / wt,1
height less,1
body pain 1w,1
b/l bow  legs,1
restless behaviour,1
ln  enlargement,1
loose   motion,1
anlke pain,1
hypopigmented pat,1
haematuria 1 d,1
limping 2days,1
desntry,1
aab. pain 2 mnth,1
"lm ,vomiting",1
burn injurty,1
ever 1 month,1
head tauma,1
"loose motion, uop less, sleepiness",1
disurria,1
"diarrhoea,vomiting, 3 days",1
swelling and redness over l nipple,1
01802651016,1
wound on l/sole,1
erythematous glans penis,1
pain l/ arm,1
dandy walker syndrome,1
milk vomiting 4 d,1
01804011474,1
woound,1
01804017083,1
01804034773,1
01804032272,1
gastruitis,1
loose motions vomiting,1
blisteers,1
eyesquint,1
wart on l/eye id,1
morning vom,1
"vomiting,3v tim",1
small eye r/s,1
abd paaaainn,1
ab distensiom,1
01803364692,1
loose stool 1m,1
trauma to r/5th toe,1
pain  during urination,1
01700157066,1
bowel not pened,1
p9oor wt gain,1
dog bitex2d,1
trauma top l/ leg,1
01803603446,1
abd.dia,1
"diarrhoea,vomiting 5t",1
minor  to penis,1
qabnormal gait,1
"heart disease other,",1
l/eye rednss,1
ab behavior,1
abd distention 4 mon,1
r/ hip pain   1 year,1
01804031951,1
vom        5t,1
sys. murmer,1
burns injury,1
pain and swelling r hip,1
sam +,1
pain in r /eye,1
pain in l/ eye 4d,1
lump at eye lid,1
01803493111,1
trauma tto head,1
01710369461,1
axil ln,1
tash,1
"runny nose,loose stool",1
burn by bouth,1
ab beh,1
r   inguinal pain,1
01802875946,1
younger borther admitted to wd 13,1
wom treatment,1
vomiting 5t,1
albuminurea,1
r5,1
"loose stool,nausea 1d",1
01803986551,1
01804028072,1
thrt pain,1
swelling eye,1
01802710069,1
vomitting4 times,1
loose motion 10 times today,1
tortion testis,1
hyperkelemia,1
"vomiting, abd p",1
l/abd.pan,1
r / inguinal lump,1
lump on r ear lobe,1
